,word,showCount,id,translation
20,school,38,2665976,"n. 学校, 鱼群, 门派, 学派\nvt. 教育, 训练, 培养\nvi. 成群地游"
85,generation,29,1222329,"n. 一代, 一世, 产生\n[医] 生殖, 世代"
56,don,26,873146,"n. 西班牙贵族(或绅士), 先生, 阁下\nvt. 穿上"
72,economy,18,932196,"n. 经济, 理财, 节约\n[医] 经济, 整体"
189,guilt,18,1305410,"n. 罪行, 内疚\n[法] 罪, 犯罪, 罪行"
159,corporate,17,675700,"a. 社团的, 合伙的, 公司的\n[经] 团体的, 法人的, 社团的"
104,lot,15,1753449,"n. 运气, 签, 抽签, 份额, 许多, 一堆\nvt. 划分\nvi. 抽签, 抓阄"
78,recession,15,2509907,"n. 后退, 凹处, 衰退, 归还\n[医] 退缩"
60,approach,15,170268,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近"
101,impact,14,1467509,"n. 冲击, 冲突, 影响, 效果\nvt. 挤入, 撞击, 压紧, 对...发生影响"
2,taking,14,2998028,"n. 取得, 捕获, 进款\na. 迷人的, 可爱的, 会传染的"
86,tend,13,3027381,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意\nvt. 照料, 护理"
233,significant,13,2762622,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
116,address,13,52367,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址"
463,formation,12,1152322,"n. 形成, 构造, 编队\n[医] 形成, 结构"
87,hold,11,1397538,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁\nvt. 保存, 握住, 拿住, 占据, 持有, 拥有\nvi. 支持, 持续, 有效\nn. 保留\n[计] 保留"
61,moment,11,1931377,"n. 片刻, 瞬间, 重要, 阶段, 力矩\n[医] 片刻, 瞬间, 时机, 因素, 矩"
44,control,11,658096,"n. 控制, 管理, 克制, 控制器, 操纵装置\nvt. 控制, 操纵, 抑制\n[计] 控制; 控制器"
200,obesity,11,2095400,"n. 肥胖\n[医] 肥胖, 多脂"
255,individual,11,1490895,"n. 人, 个人, 个体\na. 个别的, 个人的, 独特的"
52,court,10,690891,"n. 法院, 庭院, 奉承\nvt. 献殷勤, 追求, 招致\nvi. 求爱"
527,zone,10,3399153,"n. 地带, 带, 地区\nvt. 环绕, 使分成地带\nvi. 分成区\n[计] 卡片顶部的三行区; 区; 区域"
344,estate,10,1011955,"n. 不动产, (人生的)阶段, 阶层, 财产\n[经] 房地产, 遗产, 财产"
183,decline,10,771396,"n. 衰退, 跌落, 下降\nvt. 使降低, 婉谢\nvi. 下降, 衰落, 偏斜"
93,available,9,231737,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的"
112,choice,9,537487,"n. 选择, 精选品, 选择权\na. 精选的, 挑三拣四的, 上等的\n[计] DOS内部命令:在批处理文件中\n该命令用于提示用户作出选择, 决定批处理文件的流程"
96,bit,9,335048,"n. 少量, 马嚼子, 辅币\nvt. 给马上嚼子, 控制\nbite的过去式和过去分词\n[计] 比特, 二进制数位, 机内测试"
134,flight,9,1123963,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝\nvi. 迁徙\nvt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
321,fast,8,1068683,"a. 快速的, 紧的\nadv. 很快地, 紧紧地, 彻底地\nn. 绝食, 斋戒\nvi. 绝食, 斋戒"
182,issue,8,1563828,"n. 发行, 问题, 后果, 流出, 出口, 争端\nvi. 发行, 流出, 造成...结果, 传下\nvt. 使流出, 放出, 发行, 发布, 发给"
92,defined,8,778169,"a. 清晰的, 轮廓分明的；有定义的, 确定的"
304,access,8,29098,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取"
235,scale,8,2657886,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢\nvt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤\nvi. 剥落, 生水垢, 重量为, 攀登, 衡量\n[计] 刻度"
421,gene,8,1218774,n. 基因\n[化] 基因(遗传因子)
