word,showCount,translation
school,89,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
choice,70,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
[计] DOS内部命令:在批处理文件中
该命令用于提示用户作出选择, 决定批处理文件的流程"
don,67,"n. 西班牙贵族(或绅士), 先生, 阁下
vt. 穿上"
economy,51,"n. 经济, 理财, 节约
[医] 经济, 整体"
control,47,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
[计] 控制; 控制器"
generation,44,"n. 一代, 一世, 产生
[医] 生殖, 世代"
tend,44,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
available,42,"a. 可利用的, 可获得的, 有效的
[医] 有效的, 可得的"
individual,35,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
intellectual,35,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
lot,33,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
capacity,32,"n. 容量, 能力, 才能, 资格
[计] 容量"
period,32,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
mean,31,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
taking,29,"n. 取得, 捕获, 进款
a. 迷人的, 可爱的, 会传染的"
particular,29,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
decline,29,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
produce,28,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
approach,28,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
issue,27,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
limited,27,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
significant,27,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
essential,26,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
[计] 本质冒险"
moment,25,"n. 片刻, 瞬间, 重要, 阶段, 力矩
[医] 片刻, 瞬间, 时机, 因素, 矩"
trend,25,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
[计] 趋势"
appropriate,25,"a. 适当的
[经] 适当的, 拨出, 占用"
access,24,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取"
potential,24,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
productivity,24,"n. 生产力
[经] 生产率, 生产能力"
marked,24,"a. 有记号的, 显著的, 醒目的
[化] 有记号的; 显著的"
patent,23,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
court,23,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
corporate,22,"a. 社团的, 合伙的, 公司的
[经] 团体的, 法人的, 社团的"
inflation,22,"n. 胀大, 夸张, 通货膨胀
[化] 充气吹胀; 膨胀"
demand,21,"n. 要求, 需求, 需要
v. 要求, 查询"
status,21,"n. 状态, 情形, 地位, 要人身份
[计] 状态"
address,20,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
fell,20,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
